"Risk Object","New Risk Object"
"Node Name","Iron gap per person (mg_yr)"
"Node Id","Iron_gap_per_person__mg_yr_"
""
"Summary Statistics"
"Mean","263.8799670719549"
"Median","759.3942271223168"
"Variance","2.7813884447887596E7"
"Standard Deviation","5273.887034046861"
"Lower Percentile [25.0]","-2107.780010126831"
"Upper Percentile [75.0]","3557.574922558786"
""
"Lower Bound","Upper Bound","Value"
"-55000.0","-32500.0","1.1617122949868948E-4"
"-32500.0","-10000.0","0.02242968632887208"
"-10000.0","-5500.0","0.05623315719745846"
"-5500.0","-1000.0","0.22713575059958785"
"-1000.0","1000.0","0.22062734053871572"
"1000.0","5500.0","0.3931695273545949"
"5500.0","10000.0","0.07780511032521212"
"10000.0","21250.0","0.002483256426060182"
